Name,Height,Capacity (MW),Year of completion,Reservoir formed,River
Mica Dam,240 m (790 ft),"2,805",1973,Kinbasket Lake,Columbia
Revelstoke Dam,175 m (574 ft),"2,480",1984,Revelstoke Lake,Columbia
Keenleyside Dam,52 m (171 ft),185,1968,Raised Arrow Lakes,Columbia
Grand Coulee Dam,550 ft (170 m),"6,809",1941 / 1974,Franklin D. Roosevelt Lake,Columbia
Chief Joseph Dam,236 ft (72 m),"2,620",1955,Rufus Woods Lake,Columbia
Wells Dam,160 ft (49 m),840,1967,Lake Pateros,Columbia
Rocky Reach Dam,130 ft (40 m),"1,287",1961,Lake Entiat,Columbia
Rock Island Dam,135 ft (41 m),660,1933,Rock Island Pool,Columbia
Wanapum Dam,185 ft (56 m),"1,092",1963,Lake Wanapum,Columbia
Priest Rapids Dam,178 ft (54 m),955.6,1961,Priest Rapids Lake,Columbia
McNary Dam,183 ft (56 m),"1,133",1954,Lake Wallula,Columbia
John Day Dam,184 ft (56 m),"2,485",1971,Lake Umatilla,Columbia
The Dalles Dam,260 ft (79 m),"2,038",1957,Lake Celilo,Columbia
Bonneville Dam,197 ft (60 m),"1,190",1937 / 1981,Lake Bonneville,Columbia
Jackson Lake Dam,65.5 ft (20.0 m),0,1911 / 1916 / 1989,Jackson Lake,Snake
Palisades Dam,270 ft (82 m),176.6,1957,Palisades Reservoir,Snake
Gem State Dam,40 ft (12 m),22.6,1982,,Snake
American Falls Dam,104 ft (32 m),112.4,1927 / 1978,American Falls Reservoir,Snake
Minidoka Dam,86 ft (26 m),28.5,1909-1942,Lake Walcott,Snake
Milner Dam,38 ft (12 m),59.5,1905,Milner Lake,Snake
Twin Falls Dam,25 ft (7.6 m),52.9,1935 / 1995,Twin Falls Reservoir,Snake
Shoshone Falls Dam,16 ft (4.9 m),64,1907,Shoshone Falls Reservoir,Snake
Upper Salmon Falls Dam,18 ft (5.5 m),34.5,1937 / 1947,Upper Salmon Falls Reservoir,Snake
Lower Salmon Falls Dam,38 ft (12 m),60,1910 / 1949,Lower Salmon Falls Reservoir,Snake
Bliss Dam,84 ft (26 m),75,1950,Bliss Reservoir,Snake
C. J. Strike Dam,115 ft (35 m),82.8,1952,C. J. Strike Reservoir,Snake
Swan Falls Dam,107 ft (33 m),25,1901,Swan Falls Reservoir,Snake
Brownlee Dam,420 ft (130 m),585,1959 / 1980,Brownlee Reservoir,Snake
Oxbow Dam,175 ft (53 m),220,1961,Oxbow Reservoir,Snake
Hells Canyon Dam,330 ft (100 m),450,1967,Hells Canyon Reservoir,Snake
Lower Granite Dam,181 ft (55 m),932,1975 / 1987,Lower Granite Lake,Snake
Little Goose Dam,253 ft (77 m),932,1970,Lake Bryan,Snake
Lower Monumental Dam,152 ft (46 m),930,1969,Lake Herbert G. West,Snake
Ice Harbor Dam,213 ft (65 m),693,1961 / 1976,Lake Sacajawea,Snake
Goose Lake Dam (Goose Creek),26 ft (7.9 m),0,1924,Goose Lake,Salmon
Brundage Dam (Brundage Creek(Goose Creek)),64 ft (20 m),0,1989,Brundage Reservoir,Salmon
Wild Horse Dam,114 ft (35 m),0,1937 / 1969,Wild Horse Reservoir,Owyhee
Antelope Reservoir Dam (Antelope Creek (Jordan Creek)),60 ft (18 m),0,1923,Antelope Reservoir,Owyhee
Owyhee Dam,417 ft (127 m),"5,8,2",1932,Lake Owyhee,Owyhee
Wilson Reservoir Dam (Wilson Creek),34 ft (10 m),0,,Wilson Reservoir,Owyhee
Bull Run Dam (Bull Run Creek),69 ft (21 m),0,,Bull Run Reservoir,Owyhee
Dry Creek Dam (Indian Creek),70 ft (21 m),0,,Dry Creek Reservoir,Owyhee
Rawhide Reservoir Dam (Indian Creek),33 ft (10 m),0,,Rawhide Reservoir,Owyhee
Sheep Creek Dam (Sheep Creek),29 ft (8.8 m),0,1966,Sheep Creek Reservoir,Owyhee
Chimney Creek Dam (Fourmile Creek),20 ft (6.1 m),0,,Desert Ranch Reservoir,Owyhee
Warm Springs Dam,106 ft (32 m),proposed 2.7,1919,Warm Springs Reservoir,Malheur
Agency Valley Dam (North Fork Malheur River),110 ft (34 m),proposed 2.0,1935,Beulah Reservoir,Malheur
Harper Diversion Dam,12 ft (3.7 m),0,1930,Harper Diversion Pool,Malheur
Bully Creek Dam (Bully Creek),121 ft (37 m),0,1963,Bully Creek Reservoir,Malheur
Bully Creek Diversion Dam (Bully Creek),4 ft (1.2 m),0,1964,Bully Creek Diversion Pool,Malheur
Willow Creek Reservoir #3 Dam (Willow Creek),110 ft (34 m),0,1944,Malheur Reservoir,Malheur
Wallowa Lake Dam,40 ft (12 m),0,1931,Raised Wallowa Lake,Wallowa
Mason Dam,173 ft (53 m),proposed 3.4,1968,Philips Lake,Powder
Thief Valley Dam,73 ft (22 m),0,1932,Thief Valley Reservoir,Powder
Blackfoot Dam,44 ft (13 m),0,1911,Blackfoot Reservoir,Blackfoot
Henrys Lake Dam,18 ft (5.5 m),0,1923,Raised Henrys Lake,Henrys Fork
Island Park Dam,94 ft (29 m),4.8,1938,Island Park Reservoir,Henrys Fork
Buffalo River Dam (Buffalo River),12 ft (3.7 m),0.25,1980,Buffalo Dam Pool,Henrys Fork
Ashton Dam,56.6 ft (17.3 m),6.85,1913,Ashton Dam Lake,Henrys Fork
Chester Dam (Crosscut Diversion Dam),14.5 ft (4.4 m),3.3,1938,Chester Dam Pool,Henrys Fork
Grassy Lake Dam (Grassy Creek),118 ft (36 m),0,1939,Grassy Lake,Fall River
Portneuf Dam,47 ft (14 m),0,1912,Chesterfield Reservoir,Portneuf
Salmon Falls Dam,217 ft (66 m),0,1911,Salmon Falls Creek Reservoir,Salmon Falls Creek
Cedar Creek Dam (Cedar Creek),84 ft (26 m),0,1920,Cedar Creek Reservoir,Salmon Falls Creek
Arrowrock Dam,350 ft (110 m),15,1915,Arrowrock Reservoir,Boise
Lucky Peak Dam,340 ft (100 m),101.25,1955,Lucky Peak Lake,Boise
Boise River Diversion Dam,68 ft (21 m),3.3,1908,Boise River Diversion Dam Pool,Boise
Barber Dam,25 ft (7.6 m),4.14,1904,Barber Dam Pool,Boise
Anderson Ranch Dam,456 ft (139 m),40,1947,Anderson Ranch Reservoir,South Fork Boise
Little Camas Dam (Little Camas Creek),44 ft (13 m),0,1912,Little Camas Reservoir,South Fork Boise
Oakley Dam,139 ft (42 m),0,1916,Lower Goose Creek Reservoir,Goose Creek
Lost Valley Dam (Lost Creek(West Fork Weiser River)),52 ft (16 m),0,1929,Lost Valley Reservoir,Weiser
C Ben Ross Dam (Little Weiser River),56 ft (17 m),0,1937,Ben Ross Reservoir,Weiser
Crane Creek Dam (Crane Creek),55 ft (17 m),0,1912,Crane Creek Reservoir,Weiser
Mann Creek Dam (Mann Creek),148 ft (45 m),0,1967,Mann Creek Reservoir,Weiser
Unity Dam,82 ft (25 m),proposed 0.8,1938,Unity Reservoir,Burnt
Ririe Dam,253 ft (77 m),0,1977,Ririe Reservoir,Willow
Black Canyon Diversion Dam,183 ft (56 m),10.2,1924,Black Canyon Reservoir,Payette
Upper Payette Lake Dam,18 ft (5.5 m),0,1952,Upper Payette Lake,North Fork Payette
Granite Lake Dam (Fisher Creek),28 ft (8.5 m),0,1963,Granite Lake,North Fork Payette
Payette Lake Dam,8.2 ft (2.5 m),0,1943,Raised Payette Lake,North Fork Payette
Little Payette Lake Dam (Lake Fork),15.8 ft (4.8 m),0,1926,Little Payette Lake,North Fork Payette
Cascade Dam,107 ft (33 m),12.8,1948,Lake Cascade,North Fork Payette
Sage Hen Dam(Sage Hen Creek(Second Fork Squaw Creek)),38 ft (12 m),0,1938,Sage Hen Reservoir,North Fork Payette
Paddock Valley Dam (Little Willow Creek),43 ft (13 m),0,1949,Paddock Valley Reservoir,North Fork Payette
Deadwood Dam (Deadwood River),183 ft (56 m),0,1931,Deadwood Reservoir,South Fork Payette
Dworshak Dam,717 ft (219 m),400,1973,Dworshak Reservoir,North Fork Clearwater
Upper Malad River Dam,124.1 ft (37.8 m),8.27,1948,Malad Gorge State Park,Malad
Lower Malad River Dam,152.0 ft (46.3 m),13.50,1911,Malad Gorge State Park,Malad
Magic Dam,128 ft (39 m),9,1910,Magic Reservoir,Big Wood
Mormon Dam (McKinney Creek),23 ft (7.0 m),0,1908,Mormon Reservoir,Camas Creek
Little Wood River Dam,169 ft (52 m),3,1962,Little Wood Reservoir,Little Wood
Fish Creek Dam (Fish Creek),88 ft (27 m),0,1923,Fish Creek Reservoir,Little Wood
Libby Dam,420 ft (130 m),604,1972,Lake Koocanusa,Kootenay
Corra Linn Dam,16 m (52 ft),51,1932,raised Kootenay Lake,Kootenay
Upper Bonnington Falls Dam,21 m (69 ft),53,1907,,Kootenay
Lower Bonnington Falls Dam,21 m (69 ft),25,1925,,Kootenay
South Slocan Dam,18 m (59 ft),57,1928,,Kootenay
Kootenay Canal Generating Station,84 m (276 ft),583,1976,,Kootenay
Brilliant Dam,42.6 m (140 ft),260,1944 / 2007,,Kootenay
Aberfeldie Dam,90 ft (27 m),24,1922 (rebuilt 1953),Aberfeldie Dam Pool,Bull
Elko Dam,52 ft (16 m),12,1924,Elko Dam Pool,Elk
Duncan Dam,130 ft (40 m),0,1967,raised Duncan Lake,Duncan
Upper Mark Creek Dam,21.5 m (71 ft),0,1994,Mark Creek Dam Reservoir,Mark Creek
Thompson Falls Dam,110 ft (34 m),94,1915,Thompson Falls Reservoir,Pend Oreille
Noxon Rapids Dam,260 ft (79 m),527,1959,Noxon Reservoir,Pend Oreille
Cabinet Gorge Dam,208 ft (63 m),255,1952,Cabinet Gorge Reservoir,Pend Oreille
Pend Oreille,Pend Oreille,Pend Oreille,Pend Oreille,Pend Oreille,Pend Oreille
Albeni Falls Dam,90 ft (27 m),42,1955,Raised Lake Pend Oreille 11.5 ft (3.5 m),Pend Oreille
Box Canyon Dam,62 ft (19 m),90,1956,Box Canyon Reservoir,Pend Oreille
Boundary Dam,340 ft (100 m),"1,040",1967,Boundary Lake,Pend Oreille
Seven Mile Dam,79.2 m (260 ft),848,1979,,Pend Oreille
Waneta Dam,75.9 m (249 ft),450,1954,,Pend Oreille
Waneta Dam Expansion,75.9 m (249 ft),335,2015,,Pend Oreille
Hungry Horse Dam,564 ft (172 m),428,1953,Hungry Horse Reservoir,Flathead
Seli’š Ksanka Qlispe’ Dam (Kerr Dam),205 ft (62 m),188,1938,Raised Flathead Lake 10 ft (3.0 m),Flathead
Crane Prairie Dam,36 ft (11 m),0,1940,Crane Prairie Reservoir,Deschutes
Wickiup Dam,100 ft (30 m),0,1949,Wickiup Reservoir,Deschutes
Round Butte Dam,440 ft (130 m),247.12,1964,Lake Billy Chinook,Deschutes
Pelton Dam,204 ft (62 m),100.8,1957,Lake Simtustus,Deschutes
Pelton Reregulating Dam,88 ft (27 m),18.9,1958,,Deschutes
Keechelus Dam,128 ft (39 m),0,1917,Raised Keechelus Lake,Yakima
Easton Diversion Dam,66 ft (20 m),0,1929,Lake Easton,Yakima
Unnamed Diversion Dam,,0,,,Yakima
Roza Diversion Dam,67 ft (20 m),12,1939,,Yakima
Wapato Dam,19 ft (5.8 m),0,,Wapato Reservoir,Yakima
Sunnyside Dam,8 ft (2.4 m),0,1907,,Yakima
Prosser Dam,9 ft (2.7 m),0,1904,,Yakima
Wannawish Dam,6.6 ft (2.0 m),0,1892,,Yakima
Cle Elum Dam,165 ft (50 m),0,1933,Raised Cle Elum Lake,Cle Elum
Kachess Dam,115 ft (35 m),0,1912,Raised Kachess Lake,Kachess
Bumping Lake Dam,60 ft (18 m),0,1910,Raised Bumping Lake,Bumping
Clear Creek Dam (North Fork Tieton),83 ft (25 m),0,1915,Clear Lake,Tieton
Tieton Dam,319 ft (97 m),0,1925,Rimrock Lake,Tieton
Willamette Falls Dam,20 ft (6.1 m),15.18,1888,,Willamette
North Santiam,North Santiam,North Santiam,North Santiam,North Santiam,Santiam
Detroit Dam,463 ft (141 m),100,1953,Detroit Reservoir,Santiam
Big Cliff Dam,191 ft (58 m),18,1953,Big Cliff Reservoir (reregulation for Detroit Reservoir),Santiam
Green Peter Dam,327 ft (100 m),80,1968,Green Peter Reservoir,South Santiam
Foster Dam,126 ft (38 m),20,1968,Foster Reservoir (reregulation for Green Peter Reservoir),South Santiam
Hills Creek Dam,304 ft (93 m),30,1961,Hills Creek Reservoir,Middle Fork Willamette
Lookout Point Dam,276 ft (84 m),150,1954,Lookout Point Lake,Middle Fork Willamette
Fall Creek Dam,180 ft (55 m),0,1966,Fall Creek Reservoir,Middle Fork Willamette
Dexter Dam,93 ft (28 m),15,1954,Dexter Reservoir,Middle Fork Willamette
Carmen Diversion Dam,17 ft (5.2 m),0,1963,Carmen Reservoir,McKenzie
Trail Bridge Dam,90 ft (27 m),10,1963,Trail Bridge Reservoir,McKenzie
Smith Dam (Smith River),250 ft (76 m),104.5,1963,Smith Reservoir,McKenzie
Cougar Dam (South Fork),425 ft (130 m),25,1963,Cougar Reservoir,McKenzie
Blue River Dam (Blue River),270 ft (82 m),0,1969,Blue River Reservoir,McKenzie
Leaburg Dam,20 ft (6.1 m),15.9,1929,Leaburg Reservoir,McKenzie
Walterville Dam,24 ft (7.3 m),9,1911,Walterville Reservoir,McKenzie
Cottage Grove Dam,95 ft (29 m),0,1942,Cottage Grove Lake,Coast Fork Willamette
Dorena Dam (Row River),145 ft (44 m),7.51,1949,Dorena Lake,Coast Fork Willamette
Post Falls Dam,64 ft (20 m),15,1908,Raised Lake Coeur d'Alene,Spokane
Upriver Dam,,17.7,1894 / 1933,Upriver Dam Reservoir,Spokane
Upper Falls Dam,35 ft (11 m),10,1922,Upper Falls Reservoir,Spokane
Monroe Street Dam,24 ft (7.3 m),15,1890,,Spokane
Nine Mile Dam,58 ft (18 m),26,1908,Nine Mile Reservoir,Spokane
Long Lake Dam,213 ft (65 m),71,1915,Long Lake,Spokane
Little Falls Dam,57 ft (17 m),36,1911,Little Falls Pool,Spokane
Cowlitz Falls Dam,140 ft (43 m),70,1994,Lake Scanewa,Cowlitz
Mossyrock Dam,606 ft (185 m),300,1968,Riffe Lake,Cowlitz
Mayfield Dam,250 ft (76 m),162,1963,Lake Mayfield,Cowlitz
Swift Dam,512 ft (156 m),240,1958,Swift Reservoir,Lewis
Swift No. 2 Dam,83 ft (25 m),70,1959,,Lewis
Yale Dam,323 ft (98 m),134,1953,Yale Lake,Lewis
Merwin Dam,313 ft (95 m),136,1931,Lake Merwin,Lewis
Spillimacheen Dam,14.5 m (48 ft),4,1955,Spillimacheen Dam Pool,Spillimacheen
Tumwater Canyon Dam,23 ft (7.0 m),0,1909,Lake Jolanda,Wenatchee
Lake Chelan Dam,40 ft (12 m),59.2,1892–1903 / 1927,Raised Lake Chelan,Chelan



